time_period,residence_zone,workplace_zone,share,row_total
night_time_workers,Inner London,Inner London,0.30759583735782875,600000.0
night_time_workers,Inner London,Outer London,0.03157525487305074,600000.0
night_time_workers,Inner London,Elsewhere,0.013438128835442958,600000.0
night_time_workers,Outer London,Inner London,0.17639037188515572,813000.0
night_time_workers,Outer London,Outer London,0.2683997134650491,813000.0
night_time_workers,Outer London,Elsewhere,0.03289048969842315,813000.0
night_time_workers,Elsewhere,Inner London,0.11126543191353266,289000.0
night_time_workers,Elsewhere,Outer London,0.0584447719715169,289000.0
daytime_workers,Inner London,Workplace,0.27557008132056005,1234000.0
daytime_workers,Inner London,,0.028653501418452566,1234000.0
daytime_workers,Inner London,,0.012209240696124375,1234000.0
daytime_workers,Outer London,Workplace,0.19723995269776987,1964000.0
daytime_workers,Outer London,,0.2589982243410844,1964000.0
daytime_workers,Outer London,,0.04713926267477821,1964000.0
